h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
8	-4	-2	0.867464	51.915674	115.146989	126.309	125.24275	1.09817	2	1	1
2	-2	5	1.116277	-141.865444	-4.357856	141.932	87.26948	1.097	2	1	1
14	0	0	1.045899	143.826302	24.28431	145.862	94.86686	1.09358	2	1	1
9	-1	1	1.405152	40.929671	-104.419497	112.155	66.48643	1.08629	2	1	1
4	2	-6	1.055549	-145.001054	-0.550283	145.002	93.73239	1.08587	2	1	1
10	-2	-6	0.949492	-125.145865	-66.757735	141.838	108.44077	1.07692	2	1	1
14	2	-5	0.877787	-121.519867	-39.742126	127.853	122.69487	1.07081	2	1	1
9	-1	-5	1.201616	-5.285475	131.969492	132.075	79.74035	1.06848	2	1	1
6	2	2	1.333245	-110.117587	41.981309	117.849	70.58637	1.05995	2	1	1
0	4	0	0.983225	197.427184	44.853216	202.458	103.153	1.05818	1	1	1
10	2	-6	0.949492	-140.119763	-3.892246	140.174	108.44077	1.05179	2	1	1
9	1	1	1.405152	-6.889599	109.929393	110.145	66.48643	1.04771	2	1	1
4	0	7	0.934068	-135.448362	-24.617792	137.667	111.10983	1.04225	2	1	1
4	0	6	1.066597	137.475902	33.480774	141.494	92.4729	1.04108	2	1	1
5	-3	4	0.952313	42.94143	-132.458569	139.245	107.97108	1.03359	2	1	1
13	3	-1	0.869051	-6.807151	122.247357	122.437	124.83984	1.02356	2	1	1
5	1	-3	1.898985	-29.743621	69.098634	75.2283	47.86197	1.02178	2	1	1
5	-3	-4	1.052593	-98.429664	100.108427	140.393	94.07649	1.01632	2	1	1
5	-1	-3	1.898985	-14.044185	-73.660036	74.9869	47.86197	1.01523	2	1	1
4	0	5	1.240435	123.551326	15.938439	124.575	76.77677	1.0117	2	1	1
7	1	-5	1.298209	31.633127	-113.932628	118.243	72.79065	1.00467	2	1	1
6	-4	2	0.86439	48.81758	109.177995	119.595	126.03496	1.00054	2	1	1
13	-3	-1	0.869051	53.944382	-107.577593	120.345	124.83984	0.98889	2	1	1
14	-2	-5	0.877787	-121.462057	-8.644039	121.769	122.69487	0.97132	2	1	1
0	2	2	1.728662	-60.673179	55.106801	81.9634	52.92381	0.96488	2	1	1
11	3	-2	0.94822	46.665553	-125.575768	133.966	108.65445	0.96257	2	1	1
7	-1	-5	1.298209	-2.822046	115.555525	115.59	72.79065	0.9601	2	1	1
8	-2	1	1.273983	99.525648	62.657783	117.607	74.40536	0.95371	2	1	1
7	3	3	0.959355	30.773366	-130.037448	133.629	106.82196	0.94297	2	1	1
14	0	-6	0.921234	-122.872226	-30.293081	126.551	113.47303	0.90608	2	1	1
0	-4	0	0.983225	182.940995	36.420806	186.531	103.153	0.89824	1	1	1
6	4	0	0.91199	110.421233	56.329537	123.959	115.2652	0.89061	2	1	1
5	3	-4	1.052593	-39.212328	-125.348243	131.338	94.07649	0.88946	2	1	1
8	2	1	1.273983	112.934148	-11.621671	113.531	74.40536	0.88874	2	1	1
9	3	2	0.942505	42.2294	-120.251219	127.451	109.62804	0.87941	2	1	1
5	-1	-8	0.913719	-53.394717	111.031438	123.203	114.92384	0.87559	2	1	1
16	0	-1	0.939486	-121.977002	-33.07013	126.38	110.15213	0.86934	2	1	1
