h	k	l	d_spacing (Å)	theta (deg)	phi (deg)	delta (deg)	nu (deg)	qerror	errcode	hkl_back
17	1	-3	0.8676	50.7753	0.0	0.0	60.0	2.759	0	[11.5865 -0.     -2.0447]
5	1	7	0.8812	0.0	0.0	0.0	60.0	3.8144	0	[8.1708 0.     2.8822]
4	2	2	1.4919	0.0	0.0	0.0	34.6954	3.3452	0	[5.8367 0.     1.025 ]
4	2	4	1.1806	0.0	0.0	0.0	60.0	3.6646	0	[8.1708 0.     2.8822]
2	0	3	2.1332	0.0	0.0	0.0	33.8487	2.0343	0	[5.7254 0.     0.977 ]
10	0	-1	1.5155	37.1258	0.0	0.0	51.0087	0.0	0	[10. -0. -1.]
17	-1	-3	0.8676	61.6684	0.0	60.0	60.0	1.623	0	[13.274  -1.3049 -2.3424]
13	1	-1	1.1133	38.8756	0.0	0.0	60.0	1.7061	0	[11.5621 -0.     -0.8894]
13	-1	-7	0.8674	96.7303	0.0	60.0	60.0	1.6246	0	[10.1483 -1.3049 -5.4645]
12	2	-2	1.0623	49.6076	0.0	0.0	60.0	3.1994	0	[11.6063 -0.     -1.9344]
13	-1	-1	1.1133	45.7733	0.0	45.6002	60.0	0.234	0	[12.5209 -1.0765 -0.9632]
0	2	6	1.0298	0.0	0.0	0.0	60.0	4.9766	0	[8.1708 0.     2.8822]
5	-1	7	0.8812	0.0	0.0	60.0	60.0	2.3249	0	[ 7.398  -1.3049  4.3234]
8	-2	-2	1.3446	71.021	0.0	51.4452	31.9311	0.0	0	[ 8. -2. -2.]
10	2	-3	1.1578	61.9349	0.0	0.0	54.2056	3.1952	0	[10.0001 -0.     -3.0001]
0	-2	6	1.0298	0.0	0.0	60.0	27.3553	2.5299	0	[ 3.437  -2.3179  3.2045]
2	4	2	0.9329	0.0	0.0	0.0	22.7506	6.543	0	[4.0983 0.     0.4485]
4	-2	2	1.4919	4.6724	0.0	47.0703	24.983	0.0	0	[ 4. -2.  2.]
0	-2	2	1.7287	0.0	0.0	45.4627	5.8618	0.3082	0	[ 0.2114 -2.1368  1.7426]
7	1	-1	1.8994	34.2654	0.0	0.0	35.0153	1.5976	0	[ 7. -0. -1.]
2	-2	0	1.8991	89.9982	0.0	38.9261	0.0003	0.271	0	[ 2.4912 -1.8934  0.    ]
4	-2	4	1.1806	0.0	0.0	60.0	36.9628	0.5361	0	[ 4.89   -2.0853  3.4615]
10	2	-4	1.0983	74.2737	0.0	0.0	59.0578	3.1952	0	[ 9.9999 -0.     -4.    ]
7	-1	-1	1.8994	39.8582	0.0	23.4792	33.6022	0.0	0	[ 7. -1. -1.]
16	0	-5	0.8877	66.1546	0.0	0.0	60.0	2.2638	0	[10.8827 -0.     -3.4008]
2	-4	-4	0.8713	0.0	0.0	38.0826	0.0	5.5466	0	[-0.6581 -1.8587  1.2271]
12	-2	-2	1.0623	61.7266	0.0	60.0	46.4889	0.4225	0	[11.348  -1.7968 -1.8913]
9	1	5	0.9354	0.0	0.0	0.0	60.0	2.5281	0	[8.1708 0.     2.8822]
10	-2	-3	1.1578	78.3459	0.0	60.0	40.9649	0.0582	0	[ 9.9215 -1.9707 -2.9765]
4	4	-2	0.9345	65.5914	0.0	0.0	25.0729	6.3904	0	[ 4. -0. -2.]
1	1	-3	2.1063	0.0	0.0	0.0	0.0	2.983	0	[0. 0. 0.]
7	3	-6	0.8823	102.0529	0.0	0.0	60.0	4.8141	0	[ 6.398 -0.    -5.484]
12	0	-7	0.9194	88.8152	0.0	0.0	60.0	2.0193	0	[ 8.454  -0.     -4.9315]
6	0	4	1.2996	0.0	0.0	0.0	60.0	1.1516	0	[8.1708 0.     2.8822]
9	3	-4	0.9606	76.1715	0.0	0.0	55.0694	4.7928	0	[ 9.     -0.     -4.0001]
7	-3	-6	0.8823	116.3655	0.0	60.0	38.6195	1.8701	0	[ 5.5808 -2.039  -4.7835]
10	-2	-4	1.0983	87.3185	0.0	60.0	44.3982	0.2761	0	[ 9.6382 -1.8647 -3.8553]
9	-1	5	0.9354	1.0958	0.0	60.0	60.0	1.12	0	[ 7.6088 -1.3049  4.2271]
10	0	-6	1.0843	89.8522	0.0	0.0	60.0	0.9806	0	[ 8.3079 -0.     -4.9847]
1	-1	-3	2.1063	0.0	0.0	12.312	0.0	2.6905	0	[-0.0711 -0.6426  0.1326]
3	-3	-6	0.906	0.0	0.0	26.0046	0.0	6.1184	0	[-0.313  -1.3212  0.5836]
10	0	-2	1.5035	49.2822	0.0	0.0	51.4472	0.0	0	[10. -0. -2.]
6	-2	2	1.3332	12.9196	0.0	51.8734	32.469	0.0	0	[ 6. -2.  2.]
3	3	-4	1.0734	104.1613	0.0	0.0	40.8569	4.7928	0	[ 3. -0. -4.]
3	3	-6	0.906	0.0	0.0	0.0	0.0	6.9347	0	[0. 0. 0.]
5	-1	2	1.8039	0.0	0.0	26.9371	36.4599	0.4295	0	[ 5.7926 -1.098   1.6313]
2	-4	2	0.9329	38.2843	0.0	60.0	0.0	2.2385	0	[ 2.2624 -2.6098  2.2624]
4	2	1	1.639	0.0	0.0	0.0	26.0672	3.2183	0	[4.6157 0.     0.5864]
1	1	6	1.1296	0.0	0.0	0.0	60.0	3.8601	0	[ 8.1708 -0.      2.8822]
9	-3	-4	0.9606	96.3922	0.0	60.0	31.3593	1.4297	0	[ 7.5351 -2.2285 -3.349 ]
